Wavelenght (lab),Exc. Potential,loggf,Lambda,Breite,Error
5434.524,1.011,-2.122,5434.517,0.161,0.007
5424.068,4.32,0.52,0,,5424.068
5383.369,4.312,0.645,5383.363,0.161,0.006
4903.31,2.882,-0.926,4903.289,0.146,0.021
5415.199,4.386,0.642,5415.19,0.154,0.009
5569.618,3.417,-0.486,5569.612,0.149,0.006
5049.82,2.279,-1.355,5049.804,0.138,0.016
5339.929,3.266,-0.647,5339.921,0.135,0.008
5006.119,2.832,-0.638,0,,5006.119
5367.467,4.415,0.443,5367.457,0.13,0.01
6393.601,2.433,-1.432,6393.604,0.122,-0.003
5302.302,3.283,-0.72,5302.291,0.134,0.011
5497.516,1.011,-2.849,5497.499,0.124,0.017
5302.298,4.913,-3.328,5302.292,0.136,0.006
6411.649,3.654,-0.595,6411.648,0.121,0.001
5194.942,1.557,-2.09,0,,5194.942
5364.871,4.445,0.228,0,,5364.871
6252.555,2.404,-1.687,6252.558,0.117,-0.003
6246.319,3.602,-0.733,6246.314,0.112,0.005
5445.042,4.386,-0.02,5445.031,0.112,0.011
5576.089,3.43,-1,5576.08,0.111,0.009
5501.465,0.958,-3.047,5501.461,0.113,0.004
6430.846,2.176,-2.006,6430.843,0.106,0.003
5217.389,3.211,-1.07,5217.379,0.105,0.01
5215.181,3.266,-0.871,0,,5215.181
5014.943,3.943,-0.303,0,,5014.943
6336.824,3.686,-0.856,6336.825,0.101,-0.001
5083.339,0.958,-2.958,0,,5083.339
4994.13,0.915,-3.08,0,,4994.13
5198.711,2.223,-2.135,5198.703,0.093,0.008
6335.331,2.198,-2.177,6335.331,0.094,0
4924.77,2.279,-2.241,4924.751,0.091,0.019
4946.388,3.368,-1.17,0,,4946.388
5250.646,2.198,-2.181,0,,5250.646
6219.281,2.198,-2.433,6219.275,0.089,0.006
5141.739,2.424,-1.964,5141.73,0.084,0.009
5127.359,0.915,-3.307,0,,5127.359
5930.18,4.652,-0.23,5930.172,0.083,0.008
6265.134,2.176,-2.55,6265.13,0.085,0.004
5242.491,3.634,-0.967,0,,5242.491
5862.357,4.549,-0.127,5862.352,0.082,0.005
6593.87,2.433,-2.422,6593.871,0.077,-0.001
5151.911,1.011,-3.322,0,,5151.911
6232.641,3.654,-1.223,6232.636,0.081,0.005
6213.43,2.223,-2.482,6213.429,0.08,0.001
5701.545,2.559,-2.216,0,,5701.545
5466.396,4.371,-0.63,5466.388,0.076,0.008
5638.262,4.22,-0.87,5638.251,0.075,0.011
5389.479,4.415,-0.41,5389.47,0.076,0.009
6322.685,2.588,-2.426,6322.683,0.072,0.002
5079.74,0.99,-3.22,0,,5079.74
5934.655,3.928,-1.17,5934.649,0.067,0.006
6750.153,2.424,-2.621,6750.155,0.071,-0.002
5253.462,3.283,-1.573,5253.45,0.073,0.012
5662.516,4.178,-0.573,0,,5662.516
5044.211,2.851,-2.038,0,,5044.211
5473.9,4.154,-0.76,5473.887,0.07,0.013
4950.106,3.417,-1.67,4950.101,0.077,0.005
6569.216,4.733,-0.42,6569.215,0.078,0.001
5753.123,4.26,-0.688,0,,5753.123
6200.313,2.608,-2.437,6200.312,0.07,0.001
5398.279,4.445,-0.67,5398.268,0.068,0.011
4969.918,4.217,-0.71,0,,4969.918
5365.399,3.573,-1.02,0,,5365.399
5109.652,4.301,-0.98,5109.636,0.066,0.016
5859.586,4.549,-0.419,5859.585,0.079,0.001
6173.336,2.223,-2.88,6173.33,0.066,0.006
5197.577,4.956,-2.078,0,,5197.577
5196.059,4.256,-0.493,0,,5196.059
5633.947,4.991,-0.27,5633.935,0.064,0.012
6609.11,2.559,-2.692,6609.111,0.06,-0.001
5225.526,0.11,-4.789,0,,5225.526
5983.68,4.549,-1.468,5983.673,0.061,0.007
5883.817,3.96,-1.36,5883.845,0.106,-0.028
5373.709,4.473,-0.86,5373.697,0.06,0.012
5379.574,3.694,-1.514,5379.565,0.059,0.009
5543.936,4.217,-1.14,5543.929,0.061,0.007
5717.833,4.284,-1.13,5717.818,0.06,0.015
5131.469,2.223,-2.515,0,,5131.469
6481.87,2.279,-2.984,6481.854,0.067,0.016
5905.672,4.652,-0.73,0,,5905.672
5775.081,4.22,-1.298,5775.074,0.057,0.007
6157.728,4.076,-1.26,6157.723,0.06,0.005
5679.023,4.652,-0.92,5679.015,0.056,0.008
5731.762,4.256,-1.3,5731.752,0.054,0.01
5250.209,0.121,-4.938,0,,5250.209
5243.777,4.256,-1.15,0,,5243.777
4802.88,3.642,-1.514,4802.866,0.055,0.014
5288.525,3.694,-1.508,5288.514,0.054,0.011
5247.05,0.087,-4.946,0,,5247.05
4985.253,3.928,-0.56,0,,4985.253
5752.032,4.549,-1.177,5752.024,0.053,0.008
5060.079,0,-5.46,5060.039,0.072,0.04
5916.247,2.453,-2.994,0,,5916.247
6380.743,4.186,-1.376,6380.741,0.048,0.002
5956.694,0.859,-4.605,5956.705,0.06,-0.011
6518.367,2.831,-2.46,0,,6518.367
5525.544,4.23,-1.084,5525.536,0.049,0.008
6151.618,2.176,-3.299,6151.614,0.049,0.004
4962.572,4.178,-1.182,4962.557,0.048,0.015
5560.212,4.434,-1.19,5560.204,0.048,0.008
5618.633,4.209,-1.276,5618.623,0.05,0.01
4875.878,3.332,-2.02,0,,4875.878
5546.506,4.371,-1.31,5546.498,0.044,0.008
6270.225,2.858,-2.464,6270.224,0.055,0.001
6187.99,3.943,-1.72,6187.987,0.047,0.003
6496.467,4.795,-0.57,0,,6496.467
5228.377,4.22,-1.29,0,,5228.377
6127.907,4.143,-1.399,6127.903,0.048,0.004
6726.666,4.607,-1.133,6726.667,0.046,-0.001
4907.732,3.43,-1.84,0,,4907.732
6498.939,0.958,-4.699,6498.941,0.046,-0.002
6165.36,4.143,-1.474,6165.354,0.043,0.006
6597.561,4.795,-1.07,6597.55,0.041,0.011
5180.07,4.473,-1.26,5180.049,0.043,0.021
5927.789,4.652,-1.09,0,,5927.789
5522.447,4.209,-1.55,5522.432,0.044,0.015
5145.094,2.198,-2.876,0,,5145.094
6240.646,2.223,-3.233,6240.644,0.044,0.002
6416.933,4.796,-1.109,6416.923,0.043,0.01
5691.497,4.301,-1.52,5691.496,0.041,0.001
4844.014,3.546,-2.05,0,,4844.014
5054.643,3.64,-1.921,5054.627,0.036,0.016
6633.75,4.558,-0.799,0,,6633.75
5705.465,4.301,-1.355,5705.451,0.036,0.014
6703.567,2.758,-3.16,6703.567,0.036,0
5538.516,4.218,-3.244,5538.504,0.036,0.012
5538.515,3.634,-5.097,0,,5538.515
5929.677,4.548,-1.41,0,,5929.677
6533.929,4.558,-1.46,6533.976,0.075,-0.047
5653.867,4.386,-1.64,5653.857,0.034,0.01
6752.707,4.638,-1.204,6752.706,0.033,0.001
5417.033,4.415,-1.68,5417.026,0.035,0.007
6315.811,4.076,-1.71,0,,6315.811
5466.988,3.573,-2.233,0,,5466.988
5856.088,4.294,-1.328,5856.083,0.033,0.005
5466.992,3.654,-3.742,5466.965,0.031,0.027
6330.85,4.733,-1.74,6330.846,0.031,0.004
5386.334,4.154,-1.77,5386.323,0.03,0.011
5464.28,4.143,-1.402,0,,5464.28
5619.595,4.386,-1.7,5619.591,0.029,0.004
5741.848,4.256,-1.854,0,,5741.848
5635.823,4.256,-1.89,5635.812,0.029,0.011
5441.339,4.312,-1.73,5441.33,0.03,0.009
5293.959,4.143,-1.87,5293.957,0.03,0.002
5295.312,4.415,-1.69,0,,5295.312
5285.129,4.434,-1.64,5285.125,0.026,0.004
6226.736,3.883,-2.22,6226.729,0.028,0.007
6574.228,0.99,-5.023,6574.224,0.024,0.004
5487.145,4.415,-1.53,0,,5487.145
6627.545,4.548,-1.68,6627.546,0.028,-0.001
6733.151,4.638,-1.58,6733.149,0.025,0.002
5652.318,4.26,-1.95,5652.305,0.026,0.013
5223.185,3.635,-1.783,5223.169,0.027,0.016
5461.55,4.445,-1.9,5461.536,0.024,0.014
5401.269,4.32,-1.92,5401.255,0.025,0.014
4869.464,3.546,-2.52,4869.455,0.024,0.009
5470.094,4.446,-1.81,0,,5470.094
6786.86,4.191,-2.07,6786.861,0.024,-0.001
5855.077,4.608,-1.478,5855.071,0.021,0.006
5483.099,4.154,-1.407,0,,5483.099
6271.279,3.332,-2.703,6271.283,0.022,-0.004
5778.453,2.588,-3.43,5778.445,0.021,0.008
5778.453,4.154,-3.917,5778.445,0.021,0.008
5494.463,4.076,-2.09,0,,5494.463
5760.345,3.642,-2.49,0,,5760.345
6311.5,2.831,-3.141,6311.49,0.026,0.01
6713.745,4.795,-1.6,0,,6713.745
4808.148,3.251,-2.79,0,,4808.148
5661.346,4.284,-1.736,5661.339,0.018,0.007
6581.21,1.485,-4.679,0,,6581.21
5395.218,4.445,-2.17,5395.208,0.018,0.01
5651.469,4.473,-2,5651.46,0.018,0.009
6608.026,2.279,-4.03,6608.025,0.017,0.001
6725.357,4.103,-2.3,6725.361,0.016,-0.004
5881.28,4.607,-1.84,0,,5881.28
6392.539,2.279,-4.03,6392.542,0.015,-0.003
4877.606,2.998,-3.15,,,4877.606
5539.28,3.642,-2.66,5539.264,0.017,0.016
5636.696,3.64,-2.61,,,5636.696
6625.022,1.011,-5.35,6625.008,0.016,0.014
5294.548,3.64,-2.86,5294.549,0.012,-0.001
5902.474,4.593,-1.81,0,,5902.474
5732.296,4.991,-1.56,5732.288,0.012,0.008
6220.784,3.881,-2.46,6220.772,0.013,0.012
6556.787,4.796,-1.628,0,,6556.787
5696.09,4.548,-1.72,5696.035,0.019,0.055
5784.658,3.396,-2.532,0,,5784.658
5858.778,4.22,-2.26,5858.783,0.012,-0.005
5412.786,4.434,-1.716,0,,5412.786
6159.378,4.607,-1.97,6159.368,0.012,0.01
5491.832,4.186,-2.188,5491.817,0.01,0.015
6739.522,1.557,-4.794,6739.499,0.01,0.023
6436.407,4.186,-2.46,6436.408,0.008,-0.001
6591.313,4.593,-2.07,6591.299,0.01,0.014
5058.498,3.642,-2.83,0,,5058.498
5742.96,4.178,-2.51,5742.966,0.008,-0.006
5680.24,4.186,-2.58,5680.228,0.007,0.012
5861.11,4.283,-2.45,5861.101,0.007,0.009
5611.36,3.635,-2.99,5611.339,0.007,0.021
5849.684,3.694,-2.99,5849.676,0.007,0.008
6793.256,4.584,-4.275,0,,6793.256
5677.685,4.103,-2.7,5677.68,0.005,0.005
5853.148,1.485,-5.28,5853.137,0.006,0.011
5552.694,4.955,-1.99,5552.677,0.007,0.017
